PLAN_ID,PLAN_NAME,MER,DISC,PACKAGE,LEN,ROLLUP1,ASP,STARTDATE,ENDDATE
864,Introductory - All Access Family Friendly - 24mo w/2mo Savings - wActv,18.990000000000002,Full Price,All Access,Two Year,All Access 2 Year,Y,01/01/14 00:00,04/01/15 00:00
865,Promo - Traffic - 4mo for 19.95 (4FOR20) - 1X,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
866,Promo - Select - 12mo w/1mo Free (Legacy Pricing) - wActv,14.49,Full Price,Select,Annual,Select Annual,Y,01/01/14 00:00,04/01/15 00:00
867,Traffic - 12mo w/1mo Free,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
868,Select - 12mo - wActv|Veteran 25% Off,11.99,Full Price,Select,Annual,Select Annual - 25% Off,Y,31/07/19 00:00,12/12/99 00:00
869,Sirius XM ALL ACCESS - 12mo - wActv,19.990000000000002,Full Price,All Access,Annual,All Access Annual,Y,01/01/14 00:00,04/01/15 00:00
870,Fleet - All Access - 1mo - wActv - 12.49,19.990000000000002,Full Price,All Access,Monthly,All Access Monthly,N,01/07/17 00:00,30/11/17 00:00
871,Sponsored - OEM Trial - All Access - 6mo - 72.45,0.0,Full Price,All Access,Semi Annual,All Access Semi,N,01/01/14 00:00,04/01/15 00:00
872,Mostly Music - 12mo,10.99,Full Price,Mostly Music,Annual,Mostly Music Annual,Y,01/01/14 00:00,04/01/15 00:00
873,Select - Life - 699.00 - wActv,6.66,TBD,Select,Lifetime,Select Lifetime,Y,01/01/14 00:00,04/01/15 00:00
874,All Access - 12mo - wActv,18.990000000000002,Full Price,All Access,Annual,All Access Annual,Y,05/01/15 00:00,30/06/15 00:00
875,Promo - Select Family Friendly - 12mo,6.66,Discount,Select,Annual,Select Annual,Y,05/01/15 00:00,30/06/15 00:00
876,Courtesy - Introductory - Select Family Friendly - 36mo w/3mo Savings - 1X,14.99,Full Price,Select,Three Year,Select 3 Year,Y,01/06/16 00:00,12/12/99 00:00
877,Courtesy - All Access Family Friendly - 3mo - 1X,20.990000000000002,Full Price,All Access,Quarterly,All Access Quarterly,N,01/12/17 00:00,12/12/99 00:00
878,Courtesy - News-Sports-Talk - 6mo - 1X,9.99,Full Price,Other,Semi Annual,Other,TBD,01/01/14 00:00,04/01/15 00:00
879,Traffic - 36mo w/5mo Free,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
880,Marine Inland - 12mo w/1mo Free - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
881,Premier Family Friendly - 24mo w/3mo Free - wActv,6.66,TBD,TBD,TBD,Other,TBD,05/01/15 00:00,30/06/15 00:00
882,Sponsored - OEM Trial - All Access - 3mo - 19.98,0.0,Full Price,All Access,Quarterly,All Access Quarterly,N,05/01/15 00:00,30/06/15 00:00
883,Introductory - All Access - 24mo w/2mo Savings - wActv,18.990000000000002,Full Price,All Access,Two Year,All Access 2 Year,Y,01/01/14 00:00,04/01/15 00:00
884,Promo - Select - 6mo - 24.99SelfPay,4.165,Discount,Select,Semi Annual,6 for 25,N,01/01/14 00:00,04/01/15 00:00
885,All Access Family Friendly - 3mo - wActv,18.990000000000002,Full Price,All Access,Quarterly,All Access Quarterly,TBD,01/01/14 00:00,04/01/15 00:00
886,Annual Service - 1 Yr Term Billed Annually,14.99,Full Price,Select,Annual,Select Annual,Y,01/01/14 00:00,04/01/15 00:00
887,Promo - Select - 12mo - 108.00 - ($9.00/mo),9.0,Discount,Select,Annual,12 for 108,Y,01/10/18 00:00,12/12/99 00:00
888,Promo - Select - 5mo - 19.99 - (5for20),4.0,Discount,Select,5 Months,5 for 20,N,01/01/14 00:00,04/01/15 00:00
889,Courtesy - All Access Family Friendly - 6mo - 1X,20.990000000000002,Full Price,All Access,Semi Annual,All Access Semi,N,01/12/17 00:00,12/12/99 00:00
890,Select - 1mo,14.99,Full Price,Select,Monthly,Select Monthly,N,01/01/14 00:00,04/01/15 00:00
891,Fisherman - 1mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
892,Mirge - SiriusXM All-In-One - 12mo - wActv,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
893,Promo - NavTraffic + NavWeather - 6mo - (Half-off) - 1X,6.66,TBD,TBD,TBD,Other,TBD,01/01/14 00:00,04/01/15 00:00
